hotels,names,titles,star_ratting,location,date,comments,replies
華泰王子大飯店Gloria Prince Hotel,edwardcute,驢子餐廳吃大餐,5,,2018年12月,環境好！氣氛很棒！東西有一定的水準！尤其濃湯很好喝！服務人員推薦的三分熟牛排！真的很好吃....很嫰沒有血水只有肉汁真的很好吃,"Dear edwardcute,

我們很開心也很榮幸可以提供給您滿意的用餐體驗，歡迎您下次再來。"
華泰王子大飯店Gloria Prince Hotel,nikkih35,"華泰王子大飯店  一泊二食專案 九華港點集套餐  驢子餐廳吃到飽早餐

",5,台灣台北,2018年6月,妮妮要來介紹台北一家適合親子和旅客住宿的飯店- 華泰王子大飯店，華泰王子大飯店是華泰2001年與西武集團結盟，成為全球王子連鎖大飯店之一，營運近50年來一向以貼心服務為宗旨。華泰王子大飯店位於熱鬧的林森北路上，很多日本旅客來到台灣指名要飯店，停車可以停在飯店停車場，所以停車算是便利，很適合家庭或親子同遊,"Dear nikkih35,

感謝您選擇入住華泰王子大飯店。我們很開心也很榮幸可以提供給您滿意的住宿品質，期待在不久的將來還有機會為您服務。"
華泰王子大飯店Gloria Prince Hotel,Herman_Chang,九華樓全鴨匯，值得再試!,5,台灣台北,2018年10月,小型同學會聚餐，點了一套全鴨匯，內容十分豐富。師傅還會在桌旁片鴨，兼具視覺、嗅覺、味覺的饗宴。每道菜都非常好吃，唯一可惜的是鴨肉量略嫌少了一些，我們大概七個人使用，只能說是剛好。鴨油炒青菜、燉粥味道令人回味無窮。跟其他有名烤鴨店比起來，環境更加清幽，吃起來比較沒有壓力的感覺。推薦!!!,"Dear chihhengc2017,

很榮幸可以提供給您滿意的用餐體驗，歡迎您下次再來。"
華泰王子大飯店Gloria Prince Hotel,Companion821009,驢子餐廳 好味道的好餐廳,5,,2018年10月,位於華泰王子1樓的好味道，不管住宿或經過，都可以來嚐鮮，20盎司沙朗牛排份量足，口感佳，絕對是菜單首選菜色。,"Dear bihjeng H,

感謝您給予我們如此高度的評價，期待您下次再來用餐。"
華泰王子大飯店Gloria Prince Hotel,marianH9793KG,不錯,4,香港,2018年8月,Check in 人員很友善，酒店如我所料比較舊，但房間很大房務員每天都清潔得很乾淨，住最高層11樓，還有一個健身房只是沒有試過，每天都在附近工作有很多食店，每天都食早餐，很多是日本遊客，蔬菜為主但足夠，其實到處都是便利店可以食早餐，服務還可以，只是站門口的接待員只招呼日本人，可能是日本酒店吧！,"Dear marianH9793KG

感謝您給予華泰王子大飯店的意見及指教，期待下次再次為您服務。"
華泰王子大飯店Gloria Prince Hotel,edwardcute,驢子餐廳吃大餐,5,,2018年12月,環境好！氣氛很棒！東西有一定的水準！尤其濃湯很好喝！服務人員推薦的三分熟牛排！真的很好吃....很嫰沒有血水只有肉汁真的很好吃,"Dear edwardcute,

我們很開心也很榮幸可以提供給您滿意的用餐體驗，歡迎您下次再來。"
華泰王子大飯店Gloria Prince Hotel,nikkih35,"華泰王子大飯店  一泊二食專案 九華港點集套餐  驢子餐廳吃到飽早餐

",5,台灣台北,2018年6月,妮妮要來介紹台北一家適合親子和旅客住宿的飯店- 華泰王子大飯店，華泰王子大飯店是華泰2001年與西武集團結盟，成為全球王子連鎖大飯店之一，營運近50年來一向以貼心服務為宗旨。華泰王子大飯店位於熱鬧的林森北路上，很多日本旅客來到台灣指名要飯店，停車可以停在飯店停車場，所以停車算是便利，很適合家庭或親子同遊,"Dear nikkih35,

感謝您選擇入住華泰王子大飯店。我們很開心也很榮幸可以提供給您滿意的住宿品質，期待在不久的將來還有機會為您服務。"
華泰王子大飯店Gloria Prince Hotel,Herman_Chang,九華樓全鴨匯，值得再試!,5,台灣台北,2018年10月,小型同學會聚餐，點了一套全鴨匯，內容十分豐富。師傅還會在桌旁片鴨，兼具視覺、嗅覺、味覺的饗宴。每道菜都非常好吃，唯一可惜的是鴨肉量略嫌少了一些，我們大概七個人使用，只能說是剛好。鴨油炒青菜、燉粥味道令人回味無窮。跟其他有名烤鴨店比起來，環境更加清幽，吃起來比較沒有壓力的感覺。推薦!!!,"Dear chihhengc2017,

很榮幸可以提供給您滿意的用餐體驗，歡迎您下次再來。"
華泰王子大飯店Gloria Prince Hotel,Companion821009,驢子餐廳 好味道的好餐廳,5,,2018年10月,位於華泰王子1樓的好味道，不管住宿或經過，都可以來嚐鮮，20盎司沙朗牛排份量足，口感佳，絕對是菜單首選菜色。,"Dear bihjeng H,

感謝您給予我們如此高度的評價，期待您下次再來用餐。"
華泰王子大飯店Gloria Prince Hotel,marianH9793KG,不錯,4,香港,2018年8月,Check in 人員很友善，酒店如我所料比較舊，但房間很大房務員每天都清潔得很乾淨，住最高層11樓，還有一個健身房只是沒有試過，每天都在附近工作有很多食店，每天都食早餐，很多是日本遊客，蔬菜為主但足夠，其實到處都是便利店可以食早餐，服務還可以，只是站門口的接待員只招呼日本人，可能是日本酒店吧！,"Dear marianH9793KG

感謝您給予華泰王子大飯店的意見及指教，期待下次再次為您服務。"
華泰王子大飯店Gloria Prince Hotel,inlove365,夜生活很方便！,5,日本東京,2018年8月,這是一家歷史悠久的台灣本土老牌飯店，位於林森北路與民生東路交叉口，交通位置很好，離雙連捷運站也很近。,"Dear inlove365,

謝謝您給予我們的意見及肯定，歡迎您下次再來住宿。"
華泰王子大飯店Gloria Prince Hotel,Exploration728502,"乾淨舒適,物超所值,上次(一年前)遇到小事情應是個意外!!",5,,2018年8月,"王子飯店應和日本王子飯店一樣,屬於中價位的CP值高的飯店,外觀看起了有點舊,但整體看起來蠻乾淨的, 熱水洗起來舒服.","Dear 品汎 陳

感謝您選擇入住華泰王子大飯店。也謝謝您對我們的肯定及鼓勵，希望下次還有機會
再次為您服務。"
